voice,dtw,duration,zcr,wer,cer,label
64,7.0179,7.264,0.0103,1.2857,0.3273,Bad
67,6.8113,12.864,0.012,0.5238,0.1575,Bad
71,6.7181,6.656,0.0174,0.6667,0.1071,Bad
72,6.5948,8.32,0.0303,1.0526,0.2174,Bad
76,6.5285,4.96,0.0249,0.3846,0.1125,Bad
78,6.2836,7.168,0.0248,0.4,0.1119,Bad
80,6.5017,3.2,0.0312,0.625,0.2115,Bad
83,7.2247,4.032,0.0477,0.6667,0.2121,Bad
84,6.5222,5.6,0.0264,0.3571,0.0889,Bad
85,6.8587,4.064,0.0259,0.2222,0.0566,Bad
92,6.692,6.4,0.0415,0.1538,0.0595,Bad
94,7.0266,4.448,0.0592,0.6667,0.1404,Bad
95,6.8931,7.008,0.0006,0.4737,0.1311,Bad
97,6.8344,6.944,0.0084,0.25,0.0753,Bad
102,6.5088,2.5999,0.0431,0.4,0.1562,Bad
109,6.7547,7.2,0.0483,0.4286,0.099,Bad
113,6.3954,5.12,0.0685,0.25,0.0429,Bad
117,6.8128,3.232,0.0192,0.25,0.0816,Bad
118,6.8728,3.968,0.0522,0.0,0.0,Bad
119,6.6214,7.712,0.0099,0.381,0.0547,Bad
121,6.3077,4.896,0.0227,0.4667,0.1146,Bad
123,6.8195,6.272,0.0537,0.6364,0.1528,Bad
132,6.4799,8.352,0.0218,0.6,0.1532,Bad
137,6.7385,6.016,0.0239,0.6471,0.1009,Bad
141,7.0705,4.128,0.0996,0.6667,0.25,Bad
149,6.8682,7.232,0.0479,0.4444,0.0957,Bad
151,6.6993,3.84,0.0085,0.5556,0.1273,Bad
154,6.5696,9.056,0.0516,0.4,0.0746,Bad
165,6.3083,5.76,0.0363,0.619,0.1507,Bad
167,6.7387,5.728,0.0446,0.7778,0.1786,Bad
64,6.53,1.504,0.0204,0.7143,0.0909,Good
67,5.9364,3.392,0.0203,0.2381,0.0551,Good
71,6.3305,2.4,0.0058,0.5,0.0833,Good
72,5.6867,1.632,0.0162,0.4211,0.1087,Good
76,6.0267,0.256,0.0232,0.2308,0.05,Good
78,5.8111,1.952,0.0247,0.4,0.0896,Good
80,6.2195,1.856,0.0072,0.25,0.0962,Good
83,6.028,0.576,0.0658,0.0,0.0,Good
84,5.7911,1.888,0.0387,0.2143,0.0333,Good
85,6.6533,1.952,0.0089,0.0,0.0,Good
92,6.5775,3.872,0.0128,0.0769,0.0119,Good
94,6.7827,2.368,0.0134,0.3333,0.0351,Good
95,6.0486,1.024,0.0083,0.4211,0.0492,Good
97,8.177,6.912,0.0019,0.375,0.086,Good
102,5.6631,0.4559,0.049,0.6,0.1562,Good
109,6.1396,1.504,0.0434,0.1429,0.0495,Good
113,6.1156,1.504,0.0235,0.0833,0.0143,Good
117,6.5103,1.088,0.0052,0.0,0.0,Good
118,6.5076,2.016,0.0178,0.0,0.0,Good
119,5.7541,1.728,0.0162,0.2857,0.0547,Good
121,6.7341,4.032,0.0003,0.0667,0.0104,Good
123,6.172,1.248,0.0448,0.1818,0.0278,Good
132,6.068,2.688,0.0306,0.45,0.1129,Good
137,6.6538,0.48,0.0054,0.3529,0.055,Good
141,6.3343,0.192,0.042,0.1667,0.05,Good
149,6.2623,0.256,0.0389,0.1667,0.0609,Good
151,6.0993,0.736,0.0009,0.0,0.0,Good
154,5.9967,3.584,0.0319,0.15,0.0522,Good
165,5.836,3.712,0.0276,0.1429,0.0274,Good
167,6.5497,2.112,0.0401,0.2222,0.0357,Good
